Group	Gene List
1146	023450.1,231800.1
1147	023460.1,427600.1
1148	023470.1,418300.2,089040.1
1149	023530.1,023830.1,250190.1
115	002220.1,428130.1
1150	023560.1,023800.1
1151	023570.1,023790.1,023780.1,230550.1
1152	023610.1,231340.2
1153	023620.1,372990.1
1155	023670.1,277630.1
1156	023680.1,277640.1
1157	023690.1,277650.1
1158	023700.1,190530.1
1159	023740.1,307470.1
116	002230.1,135990.2
1160	023760.1,307480.1
1161	023770.1,307490.1,246660.1
1162	023900.1,140760.1,039820.1,212430.1
1163	023910.1,451000.1,039560.1,039700.1,194980.1,192260.1,050860.1
1164	023920.1,144100.1
1165	023930.1,430150.1
1166	023940.1,023950.1
1167	023970.1,340590.1,175460.1,287200.1,389720.1,121540.1,121530.1,413350.1,175450.1,137970.1
1168	023990.1,122610.1,338900.1
1169	024000.1,285680.1
117	002240.1,226730.1
1170	024010.1,174820.1
1171	024030.1,055580.1,104880.2,
1172	024050.1,166180.1,166110.1,259650.1,167060.1
1173	024090.1,168280.1
1174	024100.1,085200.1
1175	024120.1,026660.1
1176	024170.1,239220.1,059190.1
1177	024200.1,126400.1,149390.1,380950.1
1178	024220.1,058460.1,050990.1
1179	024230.1,024240.1,112900.1,429940.1,429930.1,072250.2,024250.1
118	002250.1,226750.1,176570.1
1180	024260.3,139310.1
1181	024270.3,139320.1
1182	024280.1,139330.1
1183	024330.1,224240.2,189800.1
1184	024340.1,215930.1
1185	024360.1,420400.1
1186	024370.1,420390.1
1187	024380.1,321070.1,317090.1
1188	024430.3,127510.2
1189	024520.1,132880.1,257900.1,348830.1,350790.1,319860.2,
119	002260.1,226760.1
1190	024540.1,394750.3
1191	024550.1,394730.1
1192	024570.1,060380.1,426580.1,285420.1
1193	024600.1,060370.1
1194	024610.1,060360.1,381290.1,300710.1,452300.1
1195	024620.1,362870.1,446750.1
1196	024630.2,423020.1
1197	024640.1,231220.1,080850.1,129720.1,098230.1,213940.1,275530.1,437770.1,060240.1,449160.1
1198	024650.1,323490.1,122700.1,144700.1,454740.1,045300.1
1199	024660.1,199880.1,122720.1,458860.1
12	000200.1,098870.1,103400.2,
120	002270.1,004140.1
1200	024690.2,199850.2,334770.1,334780.1
1201	024730.1,217070.1,039680.1,247380.1
1202	024740.2,369370.1
1203	024780.1,432600.1,349170.1
1204	024790.1,432570.1,432580.1,215780.1,432590.1
1205	024800.1,432560.1,349190.1,172700.1
1206	024810.2,432540.1,172690.6,
1207	024830.1,198680.1
1208	024840.1,081400.1,375930.1,138260.1
1209	024860.1,032170.1
121	002280.1,004150.1,176620.1,194550.1
1210	024880.1,049550.1,418720.1
1211	024920.1,024930.1,289020.2,360500.1,266660.2,
1212	024940.1,416200.1,410710.1
1214	024960.1,404090.1
1215	024980.1,125790.1
1216	024990.2,412460.1,412810.1,041750.1
1217	025000.1,041810.1
1218	025010.1,125830.1
1219	025020.1,125840.1
122	002290.1,182380.1
1220	025030.1,025040.1
1221	025050.1,125850.1
1222	025060.1,125860.1
1223	025090.2,121770.1,391620.1,282200.1,178390.1,316110.1
1224	025120.1,048040.1
1225	025140.2,261480.1
1226	025190.5,406430.2
1227	025210.1,406440.1
1228	025230.1,168160.1
1229	025250.1,085410.1,162860.1,380460.1,167270.1,360900.1,339650.1,335650.1,362750.1
123	002340.3,317440.1
1230	025270.1,362770.1
1231	025290.1,381260.1
1232	025310.1,058140.1
1234	025350.1,253820.1
1235	025390.2,351210.1
1236	025420.1,077940.1
1237	025440.1,077960.1
1238	025450.1,077970.1
1239	025480.1,077750.1
124	002360.1,386170.1,351690.1,331240.1
1240	025500.1,078010.1
1241	025550.1,386920.1
1242	025560.1,298290.1
1243	025580.1,078730.1
1244	025590.1,078700.2
1245	025600.1,094250.2
1246	025610.1,159210.1
1247	025620.1,408650.1
1248	025630.1,258680.1,178380.1
1249	025640.1,341240.1,282210.1,316100.1
125	002370.1,068980.1
1250	025650.1,391640.1,077260.1,250940.1,353980.1,436090.1,022070.1
1251	025660.1,132510.1
1252	025680.1,143640.1
1253	025690.1,282250.1,325630.1,418350.1,221890.1
1254	025740.1,229310.1,104760.1,071310.1,071320.1
1255	025760.3,182210.1,326700.1,251690.4,
1256	025790.1,251710.1
1257	025830.1,051050.1,397130.1,397090.1,397100.1
1258	025850.1,325310.1
1259	025860.1,337310.1,079660.1,255380.1
126	002380.1,331230.1
1260	025880.1,350440.1
1261	025950.1,358020.1,093050.1
1262	025960.1,326390.1
1263	025990.1,358050.1
1264	026030.1,238780.1,168150.1,052760.1
1265	026050.1,113400.1
1266	026080.1,137410.1,357460.1
1267	026110.1,345020.1
1268	026120.1,276390.1,253280.1,235070.1
1269	026130.1,235060.1
127	002390.1,224160.1
1270	026140.1,177340.1,226270.1,235050.1
1271	026170.1,291960.1
1272	026180.1,291950.1
1273	026220.1,096250.1
1274	026240.1,054170.1
1275	026270.1,090620.1
1277	026320.2,029840.1,368200.2,160860.1,229990.1
1278	026330.1,029820.1
1279	026370.1,446730.1,254130.1
128	002420.1,375180.1,134070.1
1280	026400.1,192640.1
1281	026410.1,192650.1
1283	026440.1,068010.1
1284	026460.1,329310.1,192670.1
1285	026470.1,329300.1,329740.1,077910.1
1286	026520.1,295400.1
1287	026540.1,295380.1,029740.1,329690.1
1288	026560.1,196740.1
1289	026590.1,311360.2,217980.1
129	002440.1,317480.1
1290	026620.1,262210.1
1291	026670.1,336060.1,026680.1,026690.1,421410.1,026720.1,058480.1,336080.1,026750.1
1292	026770.1,237360.1,339210.1
1293	026790.2,425760.1
1294	026810.1,256650.1,043340.1,090950.1
1295	026830.1,256610.1,039000.2,029690.1,014310.5,048850.2,416170.1
1296	026840.1,256580.1,209320.1
1297	026850.1,256560.1,194510.1,050880.1
1298	026860.1,052130.1
1299	026880.1,238280.1,392750.1
130	002460.4,317490.1,194140.1,352740.1
1300	026900.1,347150.1,402190.1,063020.1,207390.1
1301	026910.1,257620.1
1302	026920.1,257630.1
1303	026940.1,257650.1
1304	026990.1,257680.1,199540.1,436190.1,221360.1
1305	027040.1,110560.1
1306	027060.1,156540.1,324310.1
1307	027070.1,407470.1
1308	027080.1,448680.1,150980.1
1309	027110.1,297740.1
131	002470.1,048420.1
1310	027130.1,387750.1
1311	027140.1,117510.1,435240.1,137910.1
1312	027170.1,041590.1,137930.2,
1313	027190.1,168450.2,122240.2,
1314	027370.1,153110.1
1315	027380.1,236590.1
1316	027400.1,265220.1
1317	027420.1,411600.1,144850.1,043530.1,076490.1
1318	027480.2,029630.2
1319	027490.1,263830.1,423230.1
132	002480.1,048430.1
1321	027580.1,410190.1
1322	027600.1,410210.1,217620.1,437460.3,
1323	027640.1,101260.2
1324	027670.1,422050.1
1325	027700.2,389290.1
1326	027720.1,342420.1
1327	027730.1,422020.1
1328	027740.1,323100.2
1329	027770.1,410420.1
133	002490.1,048440.1
1330	027780.1,410430.2
1331	027800.1,375210.1
1332	027810.1,283910.1
1333	027830.1,153250.2
1334	027840.1,248930.1
1335	027850.1,378590.1,027860.1
1336	027880.1,086630.1
1337	027890.1,086640.1
1338	027900.1,320100.1,373650.1,124610.2,163860.1,208510.1,240700.1
1339	027910.1,334920.1
134	002530.1,372540.1,057610.5,379310.1
1340	027940.1,417700.1
1341	027950.1,417710.2
1342	027980.1,417820.1
1343	027990.2,417840.1
1344	028090.1,108390.3
1345	028100.1,162040.1
1346	028110.1,108410.1
1347	028120.1,108420.1,162000.1,370940.1,209050.1
1348	028130.1,108430.1
1349	028150.1,108450.1,209020.3,
135	002540.2,392990.1
1350	028160.1,431880.1
1351	028180.1,450500.1
1352	028190.1,412260.1,193880.1
1353	028230.1,129190.1,177590.1,386790.1,407240.1,426870.1,206670.1,344340.1,435100.1,422710.1
1354	028240.1,207980.1
1355	028250.1,252050.1
1356	028260.1,102120.1
1357	028280.2,394100.1,437890.3,080240.1
1358	028290.1,359140.1
1359	028310.1,302250.1,097700.1,279470.1
136	002550.1,323730.1
1360	028390.1,184530.1,280440.1,378320.1,265590.1,332720.1
1361	028400.1,216790.1
1362	028410.1,441510.3
1363	028420.1,441500.1,267710.1
1364	028430.1,254400.1
1365	028460.1,242200.1
1366	028480.1,297610.1,415330.1
1367	028490.2,066470.1
1368	028500.1,066460.1
137	002560.1,421220.1,323040.1,419320.1,323030.1,399590.1
1370	028520.1,247160.1,041310.1
1371	028530.1,152130.1,251230.1
1372	028610.1,372270.1
1373	028630.1,423790.1,165150.2,209700.1
1374	028640.1,433270.1
1375	028660.1,357390.1,414870.1,377230.1,405020.1
1376	028720.1,268550.1
1377	028740.1,410130.1,189650.1,321650.1,175900.1
1378	028790.1,224610.1,103330.1
1379	028800.1,224620.2,103320.2,
138	002600.1,311180.1
1380	028810.1,143490.1,364090.2,238430.1
1382	028850.1,383120.1,366550.1
1383	028870.1,445030.1,448810.1
1384	028900.1,216350.1
1385	028910.1,385590.1
1386	028920.1,419410.2
1387	028930.1,385580.2,221020.1
1388	028970.1,250230.1
1389	028980.1,186320.1
139	002610.1,157990.1
1390	029000.1,174310.1,033030.1
1391	029050.1,072320.1,396180.1,097360.1,204690.1,392220.1,073010.1
1392	029070.1,072420.1
1393	029080.1,072440.1
1394	029090.1,050580.1
1395	029160.1,192590.1
1396	029170.1,232580.1
1397	029210.1,056130.1,051360.1
1398	029260.1,313620.1,330730.1
1399	029270.1,313630.1,330700.1,416490.1,109280.1
14	000250.1,443970.1,444550.1
140	002620.1,157970.5
1400	029290.2,133480.1
1401	029300.1,366480.1
1402	029310.1,366490.1
1403	029320.1,366510.1
1404	029340.1,415270.1
1405	029350.1,415260.1,183440.1,336370.1
1406	029360.1,343680.1,415250.1
1407	029370.1,415220.1,032940.6,
1408	029440.1,077110.1,111000.1,302640.1,049410.1,302650.1
1409	029470.1,099680.1
141	002640.1,157950.1,373430.1
1410	029480.2,044990.1
1411	029490.1,044980.1
1412	029520.1,325280.1
1413	029530.1,177450.1
1414	029550.1,325290.1
1415	029620.2,335130.1
1416	029640.1,406650.2,230590.1
1417	029680.1,369820.1
1418	029700.1,416160.1,198100.1,333680.1
142	002650.1,157940.1
1420	029750.1,163500.1
1421	029760.2,352110.1
1422	029770.1,132240.1
1423	029790.2,279060.1
1424	029800.1,348110.1
1425	029810.1,296650.1
1426	029850.1,453840.1
1427	029870.1,322930.1
1428	029900.1,243860.1
1429	029910.1,283600.1,448090.1
143	002670.1,452580.1
1430	029930.1,198580.1
1431	029940.1,198590.1
1432	029970.1,198600.1
1433	029980.1,065030.1
1434	029990.1,297280.1
1435	030000.1,297290.4
1436	030010.1,317740.1,058940.1,332430.1,198320.1,077140.1,247300.1,356590.1,049450.1
1437	030020.1,239730.4
1438	030070.1,229940.1
1439	030140.1,377440.1
144	002680.1,046740.1
1440	030150.1,306700.1
1441	030160.1,313450.1
1442	030170.1,377550.1
1443	030260.1,031090.1,430550.1
1444	030280.1,165430.1
1445	030290.1,362210.1
1446	030330.1,455460.1
1447	030340.1,354830.1,109930.1,218430.1,387590.1,142430.1,431640.1,069160.1,404860.1,107700.1
1448	030360.1,231300.1,133730.1
1449	030370.1,381220.1
145	002690.1,399140.2
1450	030410.1,408820.1
1451	030430.1,097160.1
1452	030440.1,430440.2,208300.2,
1453	030460.1,180460.1,381860.1,094810.1,206230.3,347200.1
1454	030500.1,094780.1,228730.1,290990.1
1455	030510.1,094770.1,357530.1
1456	030530.1,242990.1
1457	030540.1,401020.1,228630.1
1458	030630.1,030640.1
1459	030680.1,367230.1
146	002700.1,036460.1,382280.1,237920.1,399820.1
1460	030690.2,438820.1,325080.3,391450.1,358130.3,
1461	030700.1,111290.1,242790.1,292850.2,405920.1,449010.1
1462	030710.1,343750.1,111270.1
1463	030730.1,292830.1,432710.1
1464	030740.1,037310.1,299920.1
1465	030780.1,338400.1
1466	030790.1,104650.1,191310.2,
1467	030800.1,338410.1
1468	030830.1,338440.1,197350.1
1469	030840.1,338460.1
147	002710.1,232730.1,007540.1,399830.1
1470	030890.1,173050.1,366430.1,443600.1
1471	030900.1,400220.2,278330.1
1472	030920.1,112910.1
1473	030930.1,112890.1
1474	030940.1,258030.2
1475	030950.1,258020.1
1476	030960.1,321230.1
1477	030980.1,159540.1
1478	031010.1,092990.1
1479	031020.1,052940.1,108490.1,154150.1
148	002720.1,324420.1,279950.1
1480	031030.1,317150.1,238510.1,068000.1,070040.1
1481	031040.1,222280.1,334530.1
1482	031060.1,434850.1
1483	031130.1,384620.1,228360.1
1484	031150.1,445250.1
1485	031160.1,445260.1
1487	031200.1,370480.1,194840.1
1488	031280.1,395640.2
1489	031310.1,336150.1,369880.1
149	002730.1,002740.1
1490	031320.1,318150.1,397860.1,227370.2,
1491	031330.3,353550.1,221280.1,238850.1
1492	031340.1,086360.1
1493	031350.1,274690.1
1494	031380.1,274710.1
1495	031400.2,451930.2
1496	031420.1,128440.1,084580.1
1497	031450.1,435350.1
1498	031460.2,037150.1,098680.1
1499	031470.1,037170.1,352890.1
15	000260.1,243270.1
150	002770.1,328070.1,321620.1
1500	031500.1,083210.1,048080.1
1501	031520.1,412310.2
1502	031540.1,164470.1,317320.1,071600.1
1503	031550.1,164480.1
1504	031570.1,308930.1
1505	031580.1,393040.1,273630.1,314740.1,193560.1,390770.1
1506	031620.1,187920.1
1507	031650.1,320690.1,259320.1
1508	031670.1,099390.1,128620.1
1509	031700.1,171700.1
151	002820.1,298750.1
1510	031710.1,091000.1,203200.1,094200.1
1511	031720.1,420060.1
1512	031730.1,420050.1
1513	031740.1,420040.1,375100.1
1514	031790.1,050950.1
1515	031800.1,316160.1,105740.1,102370.1
1516	031830.1,184930.2
1517	031850.1,230190.1,308080.1,352780.1,453080.1
1518	031860.1,230180.2
1519	031910.1,189520.1
152	162270.1,055070.1,419560.1,451520.1
1520	031920.2,306050.2
1521	031930.1,306060.1
1522	031970.1,061470.1
1523	031990.1,167630.1,386100.1,371350.1,356780.1,198010.1
1524	032000.1,147600.1
1525	032010.1,253340.1,326750.1,375740.1
1526	032020.1,169670.1
1527	032030.1,093020.1
1528	032040.1,093010.1
1529	032060.1,256940.1
153	002870.1,323830.1
1530	032070.1,207900.1
1532	032090.1,130310.1,189390.1
1533	032100.1,211920.1
1534	032110.1,300530.2,130300.1,189400.2,
1535	032140.1,160130.1,130280.1
1536	032180.1,445590.1
1537	032190.1,445580.1
1538	032200.1,258980.1
1539	032220.1,293960.1
154	002880.1,041560.1
1540	032230.1,380570.1
1541	032240.1,253770.1
1542	032250.1,211310.1
1543	032260.1,401550.1,402410.1
1544	032290.1,375880.1,065490.1
1545	032300.1,375430.1,042640.1,151780.1,046340.1,042360.1
1546	032340.1,306970.1
1547	032370.1,452310.3,137010.2,209000.1
1548	032380.1,271030.1,373330.1,088360.1,270770.1
1549	032410.1,326450.2
155	002890.1,104100.1
1550	032420.1,043740.1
1551	032500.1,074160.1
1552	032560.1,204440.1
1553	032570.1,439980.1
1554	032600.1,361450.1,451030.1,137030.1,448460.1
1555	032650.1,379050.1
1556	032680.1,241350.1,044290.1,164460.1
1557	032720.1,409440.1
1558	032730.1,410960.1
1559	032740.1,032750.1
156	002900.2,104090.1
1561	032770.1,157800.1
1562	032830.1,212730.1,210800.2,241030.1
1563	032850.1,290470.1
1564	032900.2,362140.1
1565	032920.1,227630.1
1566	032930.1,458650.1
1567	032960.1,117250.1
1568	032980.1,052470.1,441920.1
1569	033000.1,279410.1,358070.1,176880.1,376460.1
157	002910.1,104080.1
1570	033020.1,280150.1
1571	033060.1,431170.3
1572	033100.1,363360.1
1573	033120.1,207510.1,394980.1
1574	033150.1,126610.1,199590.2,
1575	033180.2,278540.1
1576	033200.1,314980.1
1577	033250.1,451550.1,199290.1
1578	033260.1,207360.1
1579	033270.1,207350.1
1580	033280.2,235020.1,226240.1
1581	033290.1,373880.1
1582	033300.1,226250.1,373870.2,235030.1
1583	033310.1,235040.1,226260.1
1584	033320.1,220770.1
1585	033330.1,220780.1
1586	033340.1,220790.1,270010.2,150570.1
1587	033370.1,368400.1,271090.1
1588	033380.1,110490.1
1589	033400.3,110480.1,193160.1
159	002930.1,314520.1
1590	033420.1,384710.1,129130.1,158340.2,291440.1,212600.1
1591	033500.1,124980.1,232780.1,305560.1,278190.1,444230.1
1592	033520.2,124990.1,232790.1,364740.1
1593	033530.1,125000.1
1594	033600.1,070650.1
1595	033610.1,070630.1
1596	033620.1,070620.1,324560.1
1597	033640.1,070610.1
1598	033650.1,070600.1
1599	033660.1,138270.1
16	000280.1,443980.1,196790.1,444570.1,243250.1
160	002940.1,104060.1
1600	033670.2,411900.1
1601	033800.1,070880.1
1602	033810.1,317120.1
1603	033820.1,317110.1
1604	033840.1,428490.1
1605	033870.1,410840.1
1606	033880.1,410830.1,260590.3,211530.1,335810.1,366820.1
1607	033890.1,171920.1
1608	033910.1,193810.1
1609	033920.1,392110.1,200520.3,
161	002970.1,104040.1,017800.1,017810.2,
1610	033940.1,122510.1,220130.1,382730.1,446540.1
1611	033950.2,122520.1
1612	033960.1,122530.1,220150.1,172610.1
1613	033970.1,122540.1
1614	034000.1,411820.1
1615	034010.1,179870.1
1616	034040.2,218840.1
1617	034050.1,036580.1
1619	034100.1,383600.1
162	002980.2,104030.1
1620	034110.1,119180.1
1621	034120.1,119190.1
1622	034130.1,119200.2
1623	034140.1,309690.1,448590.1,437950.1,247590.1
1624	034150.1,119220.1,247600.1,262040.1
1625	034170.1,189920.1,043970.1,165310.1
1626	034220.1,243510.1
1627	034230.1,117300.1
1628	034240.1,185510.1
1629	034250.1,399540.1,222690.1,160670.1
163	002990.1,040170.1
1630	034280.1,288620.1
1631	034290.1,058690.1,053080.1,053070.1
1632	034300.1,292930.1,312820.1,219860.1
1633	034310.1,278390.1
1634	034330.1,278370.1
1635	034340.1,242080.1,116290.1,430190.1
1636	034360.1,183910.1,051730.1,179120.1,430300.2,
1637	034370.1,083280.1
1638	034400.2,067890.2
1639	034420.1,403050.1
164	003000.1,040160.1,345770.1
1641	034500.1,038400.1
1642	034560.1,057210.1,367290.2,249550.1
1643	034610.1,268060.1
1644	034640.1,156020.1
1645	034650.1,368970.2
1646	034660.1,258910.1
1647	034680.1,337810.1
1648	034690.1,127910.1,039390.1
1649	034700.1,337830.2
165	003010.1,040150.1
1650	034710.1,034720.1,119150.1
1651	034750.1,295160.1,397010.1,281140.1,306190.3,
1652	034790.1,214710.1
1653	034800.1,311020.1
1654	034820.1,311010.1,224980.1
1655	034830.1,034840.1,213820.1
1656	034850.1,213810.1
1657	034860.1,213800.1
1658	034910.1,309440.1
1659	034920.2,213760.1
166	003020.1,367770.1,048000.1
1660	034940.1,309450.1
1661	034930.3,309460.1
1662	034950.1,309470.1
1663	034960.1,323220.1
1664	034970.1,323230.1
1665	034980.1,323240.1,454430.1
1666	034990.1,323260.1
1667	035010.2,323270.1
1668	035050.1,398280.1
1669	035070.1,398290.2
167	003100.1,231270.1
1670	035080.1,245560.1
1671	035110.1,433480.1,194320.1
1672	035180.1,427940.1,129900.1,035190.1,039970.1
1674	035220.2,241570.1
1675	035240.2,241560.1
1676	035260.1,173740.1,132470.1,200250.1
1677	035310.1,118310.1
1678	035350.1,149220.1,363650.1
1679	035390.1,149180.1
168	003130.1,389410.1,162760.1
1680	035400.1,149170.1
1681	035410.1,338630.1
1682	035420.1,050000.3
1683	035450.1,257300.1
1684	035460.1,293700.1,075590.1,387860.1
1685	035470.1,239720.1
1686	035530.1,430540.1
1687	035610.1,358730.1
1688	035620.1,296060.1,276830.1
1689	035640.1,358550.1
169	003140.1,420210.1
1690	035660.1,193490.1,202910.1
1691	035690.1,035700.1,035710.1,041080.1,295130.1,455950.1
1692	035830.1,153760.1
1693	035850.1,259630.1
1694	035900.1,115140.1,201030.1,450520.1,286680.1,058420.1
1695	035930.2,422010.1
1697	035950.1,201110.2,417490.1,195770.1
1698	036000.1,201130.1
1699	036080.1,343320.1,412900.1,244890.1
17	000290.1,443990.3
170	003150.1,078610.1
1700	036100.1,271290.1,054400.1
1701	036110.1,450470.1
1702	036120.1,060510.1,348090.1,386370.1
1703	036130.1,390220.1
1704	036140.1,390210.1,340050.1
1705	036150.1,337680.1,109810.1
1706	036160.1,337670.1
1707	036170.1,337660.1
1708	036200.2,377610.2
1709	036230.1,109830.1
171	003190.2,301380.1,342680.1
1710	036240.1,109840.1
1711	036250.1,109850.1
1712	036280.1,109860.1
1713	036340.1,304720.1,166570.1,231410.1
1714	036350.1,304760.1
1715	036360.1,329050.1
1716	036370.1,345500.1
1717	036470.1,380170.1
1718	036490.1,194090.1,429470.1
1719	036510.1,286060.1
172	003200.1,301370.1
1720	036530.2,258110.1
1721	036540.1,162630.1
1722	036560.1,218580.1
1723	036570.1,162640.1
1724	036600.1,070380.2
1725	036620.1,400680.1,232450.1,187010.1
1726	036630.1,199930.1
1727	036650.1,345460.1
1728	036670.1,351530.1
1729	036680.1,416840.1,233720.2,
173	003210.1,301320.1
1730	036690.1,280250.1
1732	036820.1,177250.1
1733	036840.1,177230.2
1734	036860.1,365710.1,064780.1
1736	036900.1,167840.1,153280.1,402090.1,379370.1,319520.1,419490.2,014200.1
1737	036930.1,327770.1,345660.1
1738	036950.3,180550.1
1739	036960.1,419400.1
174	003240.1,301300.1,401000.1,030560.1
1740	037000.2,448820.2,290800.1,216360.1
1741	037090.1,435840.1,454330.2,
1742	037100.1,137200.1,226910.1,263220.1,242010.1,088990.1,282280.1
1743	037120.1,298770.1
1744	037130.1,298790.1,284870.1,349270.1
1745	037160.1,211570.1,077200.1
1746	037190.1,190960.1,318190.1
1747	037250.1,447550.1
1748	037260.1,396910.1
1749	037280.2,458580.1
175	003250.2,301290.1,401010.2,030550.1
1750	037300.1,376970.1,052170.1,339900.1,138110.1,147290.1,357480.1,338380.2,047490.1
1751	037330.1,299890.1
1752	037340.1,299880.1
1753	037350.1,299870.1
1754	037360.2,299860.1
1755	037450.1,352620.1
1756	037470.1,352600.1
1757	037520.1,408600.1
1758	037530.1,428690.1
1759	037540.1,386870.1,054500.1,136810.1,136820.1
176	003280.2,010670.1,010660.1
1760	037550.1,234150.1
1761	037560.1,234140.1
1762	037590.1,067540.1
1763	037600.1,252980.1,101020.2,
1764	037630.3,238000.1,238010.1
1765	037650.1,065460.1
1766	037680.1,277160.1,277150.1,307040.1
1767	037730.1,288390.1,222630.1
1768	037780.1,166450.1
1769	037790.1,166440.1,454640.1,155480.1
177	003290.3,010650.1,030480.1
1770	037800.1,166420.1
1771	037810.1,166410.2
1772	037820.1,094860.1
1773	037840.1,161490.1
1774	037860.1,358230.1
