Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea
10000020	10000020	2	0	1	2	2	2	1	2	2	2	0	2	1	0	0	2	3	0	2	0	0	1	1	1	2	4	1	1	0
10000021	10000021	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	1	2	1	2	1
10000022	10000022	8	4	5	17	11	16	20	6	21	23	9	9	7	5	4	23	9	15	9	11	11	17	7	9	8	12	11	8	1
10000023	10000023	5	9	10	12	9	10	10	10	9	7	8	11	7	9	5	11	8	8	12	13	8	8	5	10	8	10	11	12	11
10000024	10000024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000025	10000025	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	3
10000026	10000026	1	1	1	2	1	2	2	1	1	2	2	1	1	2	0	1	1	2	2	1	1	2	2	2	1	1	2	1	2
10000028	10000028	2	2	1	0	2	2	2	1	2	1	1	0	2	2	1	2	1	2	1	1	2	1	1	1	1	2	2	2	2
10000030	10000030	1	1	1	2	1	1	2	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	5
10000033	10000033	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1
10000034	10000034	3	3	6	8	5	5	3	3	7	10	6	4	6	4	4	5	5	5	5	3	6	4	4	2	3	3	5	5	1
10000035	10000035	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1
10000036	10000036	4	2	4	3	3	2	2	2	3	2	1	3	2	2	2	1	1	1	2	4	3	1	4	4	2	1	3	4	1
10000037	10000037	2	1	1	2	1	2	2	2	2	1	2	2	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	1
10000038	10000038	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10000039	10000039	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3
10000040	10000040	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10000042	10000042	1	0	1	2	1	1	1	0	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	0	1	1	1	1	2
10000043	10000043	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2
10000044	10000044	2	8	10	5	6	10	10	10	8	6	10	9	7	11	10	6	6	10	9	7	11	4	11	11	11	5	10	7	7
10000045	10000045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000046	10000046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000047	10000047	4	8	10	12	9	9	10	11	5	10	10	9	9	8	10	12	9	10	10	8	8	11	9	11	9	9	11	11	1
10000048	10000048	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000049	10000049	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10000050	10000050	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1
10000051	10000051	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000053	10000053	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
10000054	10000054	0	1	1	1	0	0	3	1	0	0	1	1	0	2	0	1	1	0	1	0	0	1	1	2	1	1	0	1	1
10000055	10000055	1	1	1	2	1	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2
10000056	10000056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000057	10000057	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	1
10000058	10000058	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10000060	10000060	1	1	0	2	0	1	1	1	0	3	2	0	0	1	0	0	1	1	0	0	0	3	2	2	2	1	2	1	1
10000061	10000061	2	2	4	1	1	3	1	1	4	4	1	1	2	1	1	3	1	0	1	2	1	1	0	3	2	3	3	3	10
10000062	10000062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10000063	10000063	1	2	0	2	1	1	2	1	2	2	2	1	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	1	2
10000064	10000064	0	0	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10000065	10000065	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2
10000066	10000066	9	7	4	6	6	5	7	0	4	4	3	7	6	7	6	6	3	7	6	5	6	7	3	8	6	5	8	6	5
10000067	10000067	1	5	6	1	9	3	7	3	7	3	5	5	8	4	4	3	4	6	3	1	8	3	4	5	4	1	1	10	4
10000068	10000068	3	1	3	2	3	3	3	3	3	3	3	2	2	3	2	3	1	2	2	2	2	3	3	3	3	3	3	2	4
10000069	10000069	2	6	9	8	9	6	10	8	9	10	9	9	9	9	9	10	9	8	6	9	8	9	9	8	11	9	8	9	1
10000071	10000071	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	1	1
10000073	10000073	0	0	2	0	2	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
10000074	10000074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10000075	10000075	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0	1	2
10000076	10000076	1	0	3	1	2	1	1	0	3	1	1	3	0	0	0	1	1	2	1	4	3	0	2	1	2	1	5	5	4
10000077	10000077	5	5	5	7	4	9	7	8	5	8	6	6	3	5	4	6	5	4	7	6	7	8	8	3	7	6	9	8	6
10000078	10000078	2	2	1	1	1	1	1	1	2	2	1	2	0	0	0	1	1	0	0	0	1	2	2	2	1	2	2	2	2
10000079	10000079	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0
10000081	10000081	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	1
10000082	10000082	4	4	8	3	9	4	6	3	7	7	8	7	7	4	5	8	4	6	4	4	9	3	5	8	5	6	7	7	3
10000083	10000083	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000084	10000084	2	2	2	1	3	2	1	4	2	2	2	2	2	2	2	2	1	2	2	3	3	2	2	1	2	2	3	2	1
10000085	10000085	0	0	0	3	2	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	3	1	0	0	0	0	2	0
10000086	10000086	7	5	1	1	2	4	6	5	9	3	3	3	1	3	1	4	1	7	2	5	3	1	9	4	7	3	6	2	21
10000087	10000087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10000088	10000088	6	6	4	6	5	6	5	6	6	5	6	6	5	5	6	5	5	6	6	5	7	6	6	4	6	6	6	6	9
10000089	10000089	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000090	10000090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
10000091	10000091	0	6	7	3	8	7	7	2	7	5	5	5	6	5	7	8	8	5	5	4	7	3	5	6	2	6	6	8	1
10000092	10000092	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10000093	10000093	1	1	2	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	3
10000094	10000094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10000096	10000096	1	1	2	2	0	2	2	2	2	2	1	2	2	2	1	1	2	1	1	1	2	2	1	2	2	2	2	1	2
10000097	10000097	2	3	3	3	4	2	1	2	3	4	1	4	2	1	1	1	2	3	3	0	3	2	5	0	2	2	0	5	3
10000098	10000098	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
10000100	10000100	2	2	1	1	2	2	2	1	2	2	1	0	2	0	1	1	1	2	0	0	1	2	0	1	2	2	2	2	3
10000102	10000102	7	6	6	8	8	7	9	1	9	8	7	7	4	7	6	3	3	7	8	11	8	8	4	15	4	7	7	7	15
10000103	10000103	8	8	5	5	2	7	7	7	10	8	7	7	7	5	7	6	4	5	4	3	6	4	6	4	4	8	6	9	15
10000104	10000104	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000105	10000105	5	4	4	5	4	5	3	4	4	4	3	4	4	4	4	4	3	3	4	3	4	4	3	4	4	4	3	4	5
10000106	10000106	1	1	0	2	1	1	2	0	1	2	0	0	0	1	0	2	2	1	1	0	1	1	0	0	0	1	0	1	1
10000107	10000107	1	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	0	1	1	1	1	1	2
10000108	10000108	1	1	1	2	2	2	2	2	2	2	2	1	0	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	1
10000109	10000109	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000110	10000110	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1
10000111	10000111	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	2	1
10000112	10000112	2	1	0	2	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	0	2	1	2	2	1	2	2	1	1
10000113	10000113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
10000114	10000114	1	3	3	2	2	2	3	3	2	4	2	3	2	1	2	3	2	1	2	2	2	4	2	5	1	4	3	2	1
10000116	10000116	2	2	2	2	2	2	1	1	2	2	1	1	2	2	2	1	1	2	2	1	2	2	2	2	1	2	1	2	3
10000117	10000117	3	3	2	3	2	3	3	0	3	4	5	3	2	3	3	1	1	5	3	3	4	3	4	3	3	3	4	1	9
10000118	10000118	0	4	6	5	6	4	6	2	1	5	6	5	5	5	1	4	5	5	5	4	6	4	6	5	4	5	6	4	4
10000119	10000119	0	3	0	0	1	2	2	1	1	0	1	3	0	3	0	0	0	1	2	2	1	0	2	2	4	0	3	0	2
10000120	10000120	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000121	10000121	2	3	4	4	5	4	8	5	2	5	0	3	3	3	4	4	3	6	2	4	4	3	2	4	2	3	1	6	9
10000122	10000122	1	0	2	3	6	1	3	7	5	2	6	7	5	1	1	5	4	1	1	2	7	2	3	1	4	6	5	7	13
10000123	10000123	0	2	1	1	4	0	3	2	4	2	0	3	1	0	2	3	2	3	1	4	2	3	3	1	2	3	4	2	10
10000124	10000124	1	2	1	1	1	2	1	1	2	1	1	2	2	2	1	1	1	2	2	1	2	1	1	0	0	1	1	2	3
10000125	10000125	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	1	1	1	1	2	2	2	2	2	2	2	0
10000126	10000126	2	2	6	3	5	2	3	2	3	4	1	3	3	1	2	2	2	2	2	0	5	5	2	3	2	2	2	2	3
10000127	10000127	3	2	1	2	2	1	2	2	2	2	3	2	2	2	1	2	2	1	1	0	2	2	1	1	2	2	2	2	2
10000128	10000128	5	7	8	6	7	6	8	7	7	7	6	6	7	7	4	7	7	7	5	5	7	6	7	7	7	7	7	7	5
10000129	10000129	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0
10000131	10000131	3	4	4	4	4	4	4	4	4	4	3	3	4	3	3	3	4	4	4	4	4	4	4	5	4	4	4	4	3
10000132	10000132	0	1	2	1	1	1	1	1	2	1	1	2	2	1	1	1	0	0	1	1	2	1	1	0	1	1	1	2	2
10000133	10000133	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2
10000134	10000134	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000135	10000135	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1
10000136	10000136	0	0	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0
10000137	10000137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	2	1	1	1	1	0
10000138	10000138	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
10000139	10000139	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1
10000140	10000140	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10000141	10000141	5	2	5	3	4	1	6	5	3	2	6	2	3	3	2	3	1	4	2	3	8	2	6	5	2	1	4	4	9
10000142	10000142	1	1	1	0	0	1	3	2	2	2	1	1	1	0	1	1	1	2	0	0	2	2	0	1	0	0	2	2	3
10000143	10000143	2	2	1	1	1	2	2	0	2	1	0	0	1	2	2	1	1	1	1	2	1	1	0	2	2	2	2	2	2
10000144	10000144	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0
10000145	10000145	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0
10000147	10000147	3	1	1	0	1	0	2	2	2	2	2	2	2	1	0	2	0	2	0	0	1	2	2	1	1	1	2	1	3
10000148	10000148	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	3
10000149	10000149	2	2	3	2	3	2	2	3	2	2	1	3	3	4	2	2	1	3	3	4	4	2	2	2	2	2	3	2	2
10000150	10000150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
10000151	10000151	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000154	10000154	2	2	1	2	1	2	2	2	2	2	2	2	1	2	2	2	4	2	2	3	1	2	2	1	2	2	2	2	3
10000155	10000155	0	1	1	2	1	1	0	2	3	2	1	1	0	2	2	0	0	1	0	0	1	0	0	3	4	0	2	0	2
10000156	10000156	2	2	1	1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	1	1	1	2	2	2	2	2
10000157	10000157	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10000158	10000158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
10000159	10000159	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	2
10000160	10000160	0	1	1	1	1	1	1	1	2	1	1	1	0	1	1	0	0	1	1	1	1	1	1	2	1	0	1	0	0
10000161	10000161	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1
10000162	10000162	4	1	3	5	5	4	3	4	4	5	5	4	4	3	4	6	5	6	5	4	4	3	5	4	5	5	5	6	4
10000164	10000164	1	1	1	2	1	1	2	2	1	2	2	2	2	1	0	2	1	2	0	1	2	2	2	2	2	2	2	2	4
10000165	10000165	4	4	7	4	6	4	6	6	6	6	8	6	7	3	4	6	7	6	4	5	6	5	4	8	5	4	5	8	3
10000166	10000166	3	7	3	3	3	6	5	3	2	4	5	3	4	7	4	2	2	4	5	3	3	5	3	6	4	2	5	2	5
10000167	10000167	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	1
10000168	10000168	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
10000170	10000170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10000171	10000171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000173	10000173	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	4	1	0	1	2	1	1	1	1	1	2	2	1
10000174	10000174	4	2	3	2	5	4	4	6	4	5	5	3	2	3	3	5	3	4	5	3	4	5	7	7	7	4	4	5	11
10000175	10000175	5	1	1	2	3	1	0	3	2	1	1	4	2	1	2	2	2	1	2	1	2	0	3	0	1	1	2	1	3
10000177	10000177	0	3	3	3	3	3	3	4	2	3	4	3	3	3	2	3	3	3	3	2	3	3	3	3	3	3	4	3	1
10000178	10000178	1	1	2	2	1	3	3	1	0	0	3	1	2	1	2	1	1	1	1	1	2	1	2	5	2	0	1	1	1
10000179	10000179	2	2	2	2	0	2	2	1	2	2	1	1	0	1	1	2	1	2	2	2	0	2	1	1	0	2	2	1	2
10000180	10000180	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000181	10000181	1	2	1	0	0	2	0	0	1	0	1	0	1	1	1	1	1	1	0	1	2	0	2	0	1	0	3	0	2
10000182	10000182	3	3	3	5	3	4	2	3	4	1	1	3	2	1	2	4	3	1	2	2	2	2	0	3	3	2	3	4	0
10000184	10000184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000186	10000186	2	2	1	0	2	1	1	2	1	1	0	1	2	1	1	0	1	2	1	2	0	0	0	1	1	1	3	0	0
10000187	10000187	7	6	5	3	6	4	4	5	7	4	5	7	1	3	2	4	3	5	4	2	5	2	4	7	7	2	5	5	22
10000188	10000188	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
10000189	10000189	1	2	8	2	5	2	5	4	5	1	3	6	4	3	1	5	2	2	1	2	2	3	3	5	5	4	4	2	2
10000191	10000191	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000192	10000192	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1
10000193	10000193	0	1	1	2	2	1	1	0	1	2	1	0	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	1	1
10000194	10000194	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10000196	10000196	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	1	2	1	1
10000197	10000197	0	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	2	0	0	0	0	1	1	1	1	1	1	1	1
10000198	10000198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10000200	10000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10000201	10000201	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
10000202	10000202	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
10000203	10000203	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000205	10000205	5	5	6	4	6	5	5	5	5	5	4	4	6	4	5	6	4	5	5	5	6	5	5	4	5	5	5	8	5
10000206	10000206	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
10000207	10000207	2	2	0	1	1	0	0	0	2	2	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1
10000209	10000209	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	4	0	0	1
10000210	10000210	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	3
10000211	10000211	2	1	0	0	1	2	2	1	1	2	0	1	0	1	1	1	1	1	0	2	0	1	1	1	0	2	1	1	2
10000212	10000212	2	2	1	2	0	2	1	3	1	1	3	1	2	2	1	1	3	1	1	1	3	2	1	4	4	2	2	2	1
10000213	10000213	10	4	2	7	6	4	11	7	9	9	1	6	5	4	3	3	3	5	4	3	5	9	2	7	5	2	4	7	13
10000214	10000214	4	4	2	4	2	4	4	4	4	4	4	3	4	4	4	4	4	2	4	3	3	3	4	4	4	4	4	4	6
10000215	10000215	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2
10000216	10000216	0	0	0	1	0	1	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
10000217	10000217	1	2	3	1	2	1	2	3	2	2	3	1	1	2	1	1	1	1	1	2	2	2	3	4	3	1	4	1	2
10000218	10000218	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1
10000221	10000221	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	3
10000222	10000222	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000223	10000223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
10000224	10000224	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10000225	10000225	2	2	0	1	2	2	2	1	2	2	2	2	1	0	0	2	1	0	1	2	2	2	2	0	1	2	1	2	3
10000226	10000226	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1
10000227	10000227	5	6	6	6	6	6	6	6	6	6	5	6	5	3	6	5	4	6	6	6	6	6	5	6	6	5	6	5	8
10000228	10000228	1	1	2	2	2	2	2	2	2	2	0	0	1	0	1	2	1	1	0	0	2	1	1	2	2	2	2	2	2
10000229	10000229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10000231	10000231	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1
10000232	10000232	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
10000233	10000233	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2	2
10000234	10000234	2	1	3	1	2	3	3	3	3	2	3	3	3	2	1	2	2	2	2	3	3	2	3	3	3	3	2	3	2
10000236	10000236	4	3	4	4	4	4	4	3	4	4	3	3	5	4	2	4	3	4	4	4	4	5	4	3	5	4	4	4	4
10000237	10000237	4	4	4	4	2	3	3	3	4	4	3	4	4	4	4	4	4	3	4	4	4	4	3	3	3	4	3	4	4
10000238	10000238	2	3	3	3	3	3	4	3	3	3	4	3	3	4	3	4	4	3	3	4	3	4	3	6	4	3	4	3	2
10000239	10000239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10000240	10000240	2	2	3	3	3	2	2	2	2	3	2	3	2	1	2	3	2	2	2	2	2	3	1	2	2	2	2	2	4
10000241	10000241	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
