Desc	Family ID	FRAX00	FRAX01	FRAX02	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	FRAX34	Oeuropea
OG0000609_1	10000609	2	2	3	2	1	1	2	3	2	3	3	1	3	3	3	2	3	2	1	0	2	2	2	1	2	2	3	2	2	0	0
OG0000609_2	20000609	2	2	1	4	4	4	3	1	2	2	2	1	1	1	1	3	2	1	4	3	2	2	2	1	2	2	2	2	3	4	2
OG0000612_1	10000612	1	0	2	2	1	1	1	2	0	1	2	1	2	2	0	1	1	2	2	0	1	2	2	2	2	1	2	2	2	0	2
OG0000612_2	20000612	6	3	3	3	3	3	3	2	1	4	4	2	2	2	3	3	2	2	2	4	2	2	3	2	3	4	1	4	4	2	1
OG0000617_1	10000617	3	2	4	2	2	3	4	4	4	2	2	3	3	2	2	2	2	2	3	3	1	3	2	3	3	3	2	3	3	3	1
OG0000617_2	20000617	1	1	1	2	2	1	1	1	1	2	2	1	2	2	1	1	2	3	2	1	1	1	2	1	1	1	3	1	2	1	1
OG0000622_1	10000622	1	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1
OG0000622_2	20000622	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	2
OG0000625_1	10000625	3	4	7	2	4	2	6	7	5	7	4	5	3	2	1	3	3	3	6	1	4	2	4	6	4	6	6	6	5	1	2
OG0000625_2	20000625	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000628_1	10000628	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	2	1	1	1	1	1	2
OG0000628_2	20000628	3	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	3	1	1	2	0	1	1	1	1	1	1	1	1	1	0
OG0000638_1	10000638	2	2	0	0	1	2	2	2	1	2	2	2	1	0	1	2	2	2	2	1	2	1	2	2	1	2	2	2	2	0	2
OG0000638_2	20000638	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
OG0000655_1	10000655	2	1	5	4	4	3	1	6	4	4	4	2	4	3	1	2	3	2	4	2	9	3	3	3	4	3	2	2	2	3	1
OG0000655_2	20000655	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000659_1	10000659	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	2
OG0000659_2	20000659	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
OG0000661_1	10000661	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
OG0000661_2	20000661	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	1	1	1	1	0	0	1
OG0000670_1	10000670	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	3
OG0000670_2	20000670	1	1	2	1	3	1	1	1	2	2	1	2	2	1	1	1	1	2	2	1	2	0	0	1	2	2	1	2	2	0	1
OG0000708_1	10000708	2	2	2	2	0	2	2	2	2	2	3	1	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	1
OG0000708_2	20000708	2	2	4	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1
OG0000716_1	10000716	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1
OG0000716_2	20000716	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
OG0000721_1	10000721	1	1	1	1	1	1	1	1	0	1	1	2	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1
OG0000721_2	20000721	1	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	1
OG0000740_1	10000740	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
OG0000740_2	20000740	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OG0000751_1	10000751	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
OG0000751_2	20000751	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
OG0000753_1	10000753	3	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	1
OG0000753_2	20000753	2	2	3	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1
OG0000781_1	10000781	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1
OG0000781_2	20000781	2	1	0	0	2	0	1	2	0	1	2	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	1	0	1	0	1
OG0000784_1	10000784	1	2	2	2	1	1	2	1	1	3	1	2	4	3	0	1	3	1	1	3	0	4	2	1	1	1	0	2	2	3	1
OG0000784_2	20000784	2	1	2	2	1	2	2	4	3	1	4	3	2	2	2	2	2	2	0	4	4	3	2	3	4	1	1	1	2	2	1
OG0000798_1	10000798	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000798_2	20000798	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000799_1	10000799	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	1
OG0000799_2	20000799	0	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1
OG0000816_1	10000816	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1
OG0000816_2	20000816	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0
OG0000834_1	10000834	1	1	1	1	1	1	1	1	2	1	1	2	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	2
OG0000834_2	20000834	1	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1
OG0000838_1	10000838	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	2	3	3	2	3	3	3	3	3	3	3	3	3	3	3	1
OG0000838_2	20000838	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000845_1	10000845	1	1	2	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	2
OG0000845_2	20000845	1	1	2	1	1	1	2	1	1	1	1	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0000874_1	10000874	3	3	2	6	4	3	3	4	4	6	3	4	3	4	5	3	4	4	5	4	4	6	4	2	5	3	3	4	4	3	2
OG0000874_2	20000874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OG0000877_1	10000877	1	1	4	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	1	1	2	1	1	3	2	2	1	2	1	2	2
OG0000877_2	20000877	1	0	3	1	1	0	1	0	4	1	0	1	0	1	1	0	0	0	0	1	2	0	0	1	1	0	0	1	0	1	0
OG0000885_1	10000885	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0
OG0000885_2	20000885	1	1	1	1	0	1	1	0	0	1	2	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	2	1
OG0000892_1	10000892	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000892_2	20000892	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0000919_1	10000919	1	1	1	1	0	1	1	1	1	1	1	1	1	2	1	1	0	0	1	1	1	1	1	0	0	1	0	2	0	1	0
OG0000919_2	20000919	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1
OG0000927_1	10000927	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1
OG0000927_2	20000927	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	2	2
OG0000933_1	10000933	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1
OG0000933_2	20000933	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	0	1	0	1	1	1	1	0	2
OG0000939_1	10000939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
OG0000939_2	20000939	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	2
OG0000979_1	10000979	2	0	3	1	1	2	2	2	1	1	2	1	1	1	1	1	3	2	0	1	0	1	1	1	2	1	0	2	3	1	2
OG0000979_2	20000979	1	1	3	4	2	4	1	1	1	5	2	1	3	4	1	1	2	2	3	1	3	4	1	1	2	1	5	2	3	4	0
OG0000986_1	10000986	2	2	4	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1
OG0000986_2	20000986	1	1	2	1	2	3	2	1	2	2	2	2	2	2	1	1	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2
OG0000998_1	10000998	2	2	2	2	1	1	2	2	2	2	1	2	1	2	2	1	2	3	1	2	3	1	1	2	2	2	1	2	2	3	1
OG0000998_2	20000998	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	1
OG0001012_1	10001012	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	0	2
OG0001012_2	20001012	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0
OG0001020_1	10001020	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	1
OG0001020_2	20001020	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1
OG0001029_1	10001029	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001029_2	20001029	2	3	5	4	3	4	2	3	2	1	1	3	3	2	3	2	2	2	3	2	2	2	1	4	3	3	2	4	3	4	1
OG0001030_1	10001030	3	2	1	4	3	4	4	4	2	4	4	1	3	1	1	2	4	3	2	2	3	4	4	1	2	3	3	1	3	4	1
OG0001030_2	20001030	1	2	3	0	0	0	0	0	1	0	0	2	0	2	2	2	0	0	1	2	1	0	0	2	1	1	1	1	0	0	3
OG0001036_1	10001036	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001036_2	20001036	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1
OG0001056_1	10001056	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1
OG0001056_2	20001056	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1
OG0001063_1	10001063	1	1	0	2	2	2	2	2	1	2	2	0	1	2	0	0	2	1	1	1	2	2	1	1	1	1	2	1	0	2	2
OG0001063_2	20001063	2	2	1	2	2	2	1	2	2	3	2	2	3	2	2	2	2	1	1	2	2	2	1	1	1	1	2	2	1	2	2
OG0001069_1	10001069	0	0	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
OG0001069_2	20001069	1	3	6	2	1	4	0	3	3	4	0	4	5	3	3	2	9	8	2	5	1	6	1	4	3	9	0	2	4	3	0
OG0001070_1	10001070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
OG0001070_2	20001070	1	1	2	2	3	2	2	1	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1
OG0001087_1	10001087	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1
OG0001087_2	20001087	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	2
OG0001090_1	10001090	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OG0001090_2	20001090	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	2	1
OG0001112_1	10001112	0	5	6	5	1	6	3	1	1	6	0	2	8	4	6	6	0	0	1	2	3	5	1	1	2	2	0	1	0	2	1
OG0001112_2	20001112	1	0	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
OG0001121_1	10001121	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1
OG0001121_2	20001121	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1
OG0001135_1	10001135	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0001135_2	20001135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001154_1	10001154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001154_2	20001154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2
OG0001166_1	10001166	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001166_2	20001166	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001171_1	10001171	0	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1
OG0001171_2	20001171	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
OG0001193_1	10001193	2	1	3	2	1	2	1	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1
OG0001193_2	20001193	1	2	2	2	2	2	1	1	1	2	2	1	2	2	0	2	2	2	1	1	2	2	2	1	1	1	1	1	2	2	2
OG0001197_1	10001197	1	0	1	0	1	0	0	0	1	0	2	0	0	1	0	1	1	2	0	0	0	1	1	0	1	1	0	2	0	0	1
OG0001197_2	20001197	0	0	0	2	1	2	1	1	1	1	0	1	2	0	2	0	1	1	1	1	1	0	0	1	1	0	1	0	0	0	1
OG0001212_1	10001212	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0001212_2	20001212	2	1	2	3	2	2	2	3	2	3	3	2	3	2	2	3	3	3	3	2	0	3	2	3	2	3	2	3	2	3	2
OG0001220_1	10001220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4
OG0001220_2	20001220	1	4	5	2	2	3	4	6	5	2	5	5	2	0	3	4	3	2	6	2	4	2	3	5	4	2	2	2	5	1	6
OG0001229_1	10001229	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	2	2	2	1	1	0
OG0001229_2	20001229	1	1	2	2	1	2	2	2	2	2	1	2	2	2	0	1	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1
OG0001257_1	10001257	2	1	4	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2
OG0001257_2	20001257	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2
OG0001283_1	10001283	2	1	2	1	1	2	1	2	0	2	2	2	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	1	0	1	1
OG0001283_2	20001283	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	1
OG0001285_1	10001285	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001285_2	20001285	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0001286_1	10001286	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1
OG0001286_2	20001286	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1
OG0001299_1	10001299	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1
OG0001299_2	20001299	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1
OG0001302_1	10001302	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	1
OG0001302_2	20001302	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1
OG0001303_1	10001303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
OG0001303_2	20001303	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1
OG0001304_1	10001304	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1
OG0001304_2	20001304	1	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0001309_1	10001309	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1
OG0001309_2	20001309	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
OG0001310_1	10001310	1	0	0	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1
OG0001310_2	20001310	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1
OG0001321_1	10001321	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2
OG0001321_2	20001321	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
OG0001322_1	10001322	1	2	1	2	1	4	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	0	1
OG0001322_2	20001322	2	2	4	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1
OG0001328_1	10001328	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
