	FEXC	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX10	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33
HOG161	3	3	3	3	0	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG165	2	4	2	3	4	3	3	3	3	3	2	3	2	3	3	3	2	3	2	4	3	3	3	3	3	3	3	3	3
HOG172	6	6	6	6	6	5	6	6	6	6	6	4	6	6	6	6	6	4	6	6	5	6	6	6	6	6	6	6	6
HOG184	6	7	8	8	8	7	7	8	8	8	8	7	8	8	7	7	7	8	7	8	8	8	8	7	7	8	8	7	8
HOG187	2	2	3	3	2	2	0	3	2	3	2	3	3	2	2	4	2	2	3	2	2	2	3	2	5	2	2	2	3
HOG188	2	2	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2
HOG190	12	13	12	14	12	12	12	13	12	12	12	12	12	12	12	12	12	13	12	12	13	12	14	12	12	12	12	12	12
HOG199	3	3	3	3	4	3	3	3	3	3	5	3	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG200	2	2	2	2	1	2	2	2	2	2	0	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG204	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	2	1	1	0	0	0	1	1	1
HOG205	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	2	2	0	1	1	2	2	2	1	1	1
HOG227	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG240	3	3	6	3	3	3	3	2	3	6	3	2	3	3	2	2	3	3	3	3	2	3	3	3	3	3	3	2	3
HOG272	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0
HOG280	1	0	2	1	1	1	1	3	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG285	1	1	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
HOG286	5	5	1	5	3	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
HOG289	3	3	4	4	3	3	3	4	3	5	3	1	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG298	3	3	6	6	4	4	4	5	5	3	5	3	4	3	5	3	4	5	5	3	6	4	5	4	5	4	6	5	5
HOG305	2	2	2	4	2	2	2	2	2	2	2	2	2	1	3	4	2	2	2	2	2	3	4	3	2	2	4	2	2
HOG306	1	2	2	0	2	2	2	2	2	1	2	2	2	2	1	0	2	2	2	2	2	2	0	0	2	2	0	2	2
HOG314	3	3	3	3	3	3	3	3	3	4	4	2	2	3	3	3	3	2	5	3	3	3	3	3	3	1	3	1	3
HOG316	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1
HOG319	1	1	1	1	2	1	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0	1
HOG320	1	1	1	1	0	1	2	2	1	1	1	0	1	1	1	1	1	1	2	1	1	0	1	2	2	2	1	1	1
HOG322	2	2	1	1	2	2	2	1	2	0	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2
HOG328	1	1	1	1	1	1	1	0	1	0	2	0	1	0	2	1	2	2	2	1	0	1	1	2	1	0	1	1	1
HOG329	1	1	1	1	1	1	1	2	1	2	0	2	1	2	0	1	0	0	0	1	2	1	1	0	1	2	1	1	1
HOG332	1	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	1	2	2	1	1
HOG344	1	1	1	2	2	1	2	2	2	0	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	1	1
HOG346	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	0	1
HOG348	1	1	2	3	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	1
HOG375	1	1	2	3	3	1	3	0	1	2	2	0	1	2	1	1	3	5	2	1	1	1	3	2	0	2	3	2	1
HOG376	1	2	0	1	1	1	1	0	1	0	2	1	2	0	1	2	1	0	1	1	0	1	1	2	0	1	1	1	1
HOG377	1	1	0	0	0	0	1	2	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1
HOG380	1	3	1	0	0	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1
HOG381	1	0	2	1	0	1	1	0	1	0	0	0	0	2	1	0	1	2	1	1	2	1	1	0	2	1	1	1	1
HOG383	1	1	4	4	0	1	4	4	1	2	1	4	1	1	1	0	2	2	2	1	2	1	1	2	2	2	0	2	1
HOG384	1	2	2	2	1	1	1	1	1	2	3	1	3	2	1	2	1	0	1	1	2	2	1	1	1	2	0	1	1
HOG385	1	1	2	0	2	1	1	2	1	1	0	1	1	1	1	1	2	1	2	1	0	1	0	2	0	1	0	1	1
HOG387	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1
HOG388	1	1	0	0	0	1	0	4	1	0	0	2	1	0	1	1	0	0	0	1	1	1	0	1	2	1	0	1	1
HOG391	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	1	1	1	0	2	1	1
HOG397	3	3	0	3	3	3	3	5	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG402	2	1	1	2	1	2	2	1	2	2	2	1	3	1	1	2	2	1	2	0	1	0	0	2	1	2	2	2	1
HOG404	3	3	3	3	3	3	3	1	3	3	3	4	2	3	3	3	3	3	2	1	3	3	3	3	3	3	3	3	3
HOG406	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1
HOG408	4	5	5	3	5	4	4	2	4	5	4	4	5	5	5	5	4	5	5	5	5	5	5	3	2	3	4	3	3
HOG409	1	0	0	2	0	1	1	3	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	3	2	1	2	2
HOG413	2	1	0	2	2	2	2	3	2	3	2	3	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG414	1	2	0	1	1	1	2	0	1	0	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
HOG416	1	2	0	2	0	1	2	1	1	0	1	1	0	0	2	2	1	1	1	2	1	1	1	1	0	1	0	1	1
HOG417	1	0	2	0	2	1	0	2	1	2	1	1	0	2	0	0	1	1	1	0	1	1	1	1	2	1	2	1	1
HOG420	2	2	1	2	0	2	3	4	2	2	2	2	1	0	2	2	2	0	2	2	2	0	2	2	4	4	2	1	2
HOG421	1	1	2	1	4	1	0	0	1	1	1	0	0	3	1	1	2	4	2	2	2	3	1	2	0	0	1	0	1
HOG423	4	2	4	5	6	4	4	6	4	4	4	5	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	4
HOG425	1	1	1	0	2	1	0	0	1	1	1	0	1	2	1	1	1	1	1	1	0	1	1	1	1	0	3	0	1
HOG433	1	2	2	2	2	2	1	2	1	2	1	2	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1
HOG434	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1
HOG435	1	3	2	1	1	1	1	1	1	2	1	1	3	3	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1
HOG449	0	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
HOG461	3	0	2	3	3	3	3	3	3	2	3	3	0	1	3	3	2	1	3	3	3	3	3	3	3	3	3	3	3
HOG464	2	0	1	1	1	2	2	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG479	7	8	7	8	8	7	8	6	8	8	8	9	6	7	8	7	7	8	8	8	8	7	8	8	8	8	7	8	7
HOG484	2	2	3	2	1	1	3	2	2	3	2	0	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2
HOG498	2	2	1	3	1	2	2	2	1	1	3	2	2	1	2	1	3	1	2	2	2	1	2	2	1	2	2	2	2
HOG499	2	4	1	1	2	2	2	0	2	2	2	0	2	2	2	3	2	2	2	3	1	2	2	2	2	2	2	1	2
HOG500	1	0	1	2	2	1	1	4	1	2	0	1	2	2	2	0	1	2	1	0	2	1	1	2	1	2	2	0	2
HOG511	1	2	0	0	1	1	1	0	1	1	0	3	2	1	1	1	1	0	1	1	3	1	0	1	1	2	0	2	1
HOG514	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1	1	0	0
HOG517	1	1	2	3	0	2	1	1	1	2	3	1	1	1	1	2	2	2	0	1	1	1	2	0	3	1	4	1	1
HOG525	6	6	1	6	5	6	6	4	6	5	4	4	6	5	5	6	6	6	6	6	6	6	5	6	6	6	6	6	6
HOG527	1	1	1	1	1	1	1	0	2	1	1	0	1	1	1	1	0	2	0	1	1	1	1	1	0	0	2	0	0
HOG530	2	4	1	4	4	2	2	4	1	0	2	1	0	4	1	2	2	1	2	2	2	3	2	2	4	4	4	2	4
HOG531	2	0	0	0	0	2	2	0	3	4	2	0	0	1	3	2	2	3	2	2	2	1	2	2	0	0	0	2	0
HOG541	17	17	17	17	17	15	16	17	17	17	16	15	16	17	17	17	15	17	17	17	18	16	17	17	16	16	16	17	16
HOG542	3	2	1	3	2	3	3	3	3	1	3	1	1	3	4	3	4	4	3	4	3	3	2	4	2	2	4	3	2
HOG551	1	3	1	2	3	1	1	3	1	2	1	3	3	1	3	1	1	1	2	1	0	2	0	4	1	2	3	1	1
HOG554	3	3	0	3	3	3	3	3	2	0	3	3	1	3	3	3	3	3	1	3	3	0	3	3	3	0	3	3	3
HOG558	2	1	3	2	2	2	2	2	3	4	2	2	4	1	2	2	2	2	3	2	2	4	2	2	2	3	2	2	2
HOG559	3	3	2	3	3	3	3	3	3	2	3	1	1	2	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG560	1	1	0	1	0	1	1	2	0	0	0	2	0	1	1	0	2	0	2	2	1	0	0	1	2	2	0	2	2
HOG561	3	3	3	5	3	2	3	5	3	3	3	3	5	3	3	3	2	3	3	5	3	3	3	5	3	5	3	5	5
HOG562	4	4	4	2	4	5	4	2	4	4	4	4	2	4	4	4	4	4	4	2	4	4	4	2	4	2	4	2	2
HOG566	1	0	0	1	1	2	2	1	1	1	2	1	1	0	1	1	2	1	1	1	1	0	2	1	1	1	1	1	1
HOG567	2	0	0	1	0	1	2	0	0	0	2	0	2	0	0	1	2	1	0	2	1	1	2	1	2	2	2	1	1
HOG568	6	7	7	7	8	6	6	6	6	7	6	8	7	8	7	5	6	7	6	7	6	6	5	7	5	6	7	7	6
HOG569	2	0	2	0	0	1	2	2	1	0	2	0	0	0	0	4	2	0	2	0	2	2	2	1	2	2	1	1	2
HOG572	2	2	0	2	3	2	2	2	3	4	2	2	2	3	2	2	2	0	2	2	2	1	2	2	1	2	2	2	2
HOG574	3	1	2	2	1	1	0	1	3	0	3	1	1	3	1	3	3	3	1	3	3	2	4	1	3	3	0	3	3
HOG577	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1
HOG578	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	6	6	3	6	6
HOG583	1	2	1	1	0	1	1	4	1	1	1	4	1	1	2	1	4	1	1	2	1	1	1	1	1	0	4	1	1
HOG584	1	4	5	1	6	1	1	1	1	4	1	0	7	0	3	6	1	1	1	6	1	1	1	1	1	1	1	1	0
HOG585	3	3	3	3	4	3	3	0	3	4	3	3	3	3	4	3	0	3	3	3	3	3	3	3	3	3	0	3	3
HOG589	3	2	1	2	3	3	3	0	2	2	3	2	3	2	2	3	3	2	1	3	3	2	3	3	3	2	0	3	3
HOG591	1	2	1	1	1	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	2	2	2	2	2	1	1	1
HOG592	2	2	3	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	3	2	2	2	2	2	2	3	2	1
HOG593	1	3	4	4	1	2	1	2	1	5	2	2	4	2	3	3	1	1	1	1	1	2	1	1	1	0	3	1	1
HOG594	6	5	3	3	7	5	6	5	5	3	6	5	2	3	5	5	6	4	5	3	4	5	4	6	5	6	5	6	6
HOG595	1	0	0	1	0	1	1	1	2	0	0	1	2	4	0	0	1	4	2	3	3	1	3	1	1	2	0	2	1
HOG596	12	14	11	14	14	12	10	13	12	13	12	15	11	14	13	13	13	12	9	14	14	12	13	14	14	12	10	13	13
HOG597	5	1	5	4	2	7	5	6	7	2	7	10	5	6	1	1	6	5	5	2	5	6	7	6	5	6	4	7	6
HOG599	1	0	0	8	0	2	2	2	0	8	2	0	1	2	0	0	3	0	0	2	7	0	2	5	0	8	3	0	0
HOG600	1	0	5	0	7	1	3	5	0	0	2	0	2	4	5	0	5	0	8	0	0	0	3	0	5	0	5	3	5
HOG601	1	8	3	0	1	0	1	1	2	0	0	8	0	0	3	3	0	0	0	1	1	2	0	0	3	0	0	1	1
HOG603	5	3	5	6	7	6	5	4	5	6	6	4	5	5	5	5	5	4	6	6	3	6	6	5	6	5	6	3	4
HOG605	1	3	3	4	3	2	2	3	0	5	5	3	5	4	1	0	2	0	5	0	1	2	4	3	1	3	0	1	3
HOG607	3	3	2	4	6	3	3	6	3	5	3	4	4	4	4	5	3	0	4	5	0	5	1	4	2	4	2	3	3
HOG608	5	5	6	6	5	5	5	4	5	5	5	6	5	5	7	5	5	6	4	5	5	5	4	6	5	5	3	5	6
HOG611	6	6	5	5	5	6	6	6	6	6	6	1	5	6	6	6	5	6	6	6	8	6	6	7	6	6	5	6	6
HOG624	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	3	3	1	0	1	0
HOG625	1	2	1	0	1	1	1	4	1	3	1	0	1	1	0	0	2	1	1	0	0	2	2	2	0	0	2	0	2
HOG626	3	3	3	4	4	3	3	1	3	1	3	3	4	3	4	4	3	3	4	4	5	2	2	0	2	4	3	4	3
HOG632	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG633	14	13	16	14	13	14	14	14	14	14	14	15	15	16	14	14	14	15	14	14	14	14	14	14	14	14	14	15	14
HOG634	2	4	4	2	2	2	2	4	2	2	2	2	2	2	4	4	2	2	2	4	2	2	2	2	2	2	2	2	2
HOG640	1	2	0	0	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	0	1	1	0	2	1	1	1	1	1
HOG641	3	2	4	4	3	3	3	3	3	2	3	2	3	3	3	2	3	3	3	4	3	3	4	2	3	3	3	3	3
HOG655	2	2	2	2	2	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG656	1	1	1	1	1	1	1	1	1	3	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
HOG659	1	2	0	2	1	1	2	1	1	2	0	0	1	1	1	1	1	1	2	1	0	1	1	1	1	2	1	1	2
HOG662	2	4	2	2	2	2	2	2	2	2	2	5	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2
HOG667	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1
HOG679	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	1	2	1	0
HOG681	1	0	0	1	2	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	2	1	1	0	1	1	1	1
HOG683	2	1	2	2	3	2	2	2	2	3	2	2	3	1	1	1	2	0	2	1	3	2	2	2	1	2	1	2	3
HOG697	3	3	3	0	3	3	3	3	3	3	3	0	1	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG704	2	2	1	2	1	1	1	1	1	1	0	1	1	1	2	2	2	0	1	2	0	1	2	0	1	1	0	2	0
HOG705	2	2	3	2	3	3	3	3	3	3	4	3	3	3	2	2	2	4	3	2	4	3	2	4	3	3	4	2	4
HOG710	1	1	1	1	1	1	1	2	1	0	1	2	1	0	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1
HOG719	3	3	3	0	2	4	2	2	3	2	2	2	2	4	3	2	3	2	0	3	3	3	3	3	2	2	3	3	3
HOG728	2	0	2	1	1	2	2	0	1	1	2	0	1	2	1	0	2	1	0	0	0	2	2	1	0	0	1	0	0
HOG735	4	4	2	4	3	3	4	3	0	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4
HOG741	4	4	4	3	2	4	4	4	4	2	4	2	2	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG742	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1
HOG744	1	2	2	2	2	1	1	2	1	1	1	2	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1
HOG746	0	1	2	1	1	0	0	1	2	2	1	0	2	2	1	1	1	1	2	0	1	1	0	0	1	1	0	1	0
HOG748	1	2	0	1	0	1	1	2	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
HOG749	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0
HOG750	5	3	4	5	6	5	5	4	5	4	5	5	5	6	6	2	5	5	5	3	5	5	5	5	5	5	5	6	6
HOG752	2	0	2	2	2	2	2	2	2	0	2	2	0	2	0	1	2	2	0	2	2	2	2	2	0	2	2	2	0
HOG755	2	2	2	0	2	1	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG759	4	3	3	4	3	3	2	3	3	4	3	2	4	3	3	1	3	3	2	1	4	3	4	3	3	3	4	3	4
HOG762	1	2	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
HOG770	1	1	1	0	1	1	1	2	1	2	1	1	0	1	1	1	2	1	1	1	1	1	0	2	0	1	1	0	1
HOG773	2	3	2	2	2	2	2	0	2	0	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG775	1	1	1	1	3	1	1	1	1	1	1	2	2	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1
HOG776	2	2	2	2	0	2	2	2	2	2	2	1	1	2	2	2	3	0	2	2	2	2	2	2	2	2	3	2	2
HOG791	1	2	0	2	1	1	2	1	0	0	2	1	0	1	2	1	1	1	1	2	1	0	1	1	1	1	0	1	1
HOG792	4	4	4	4	4	4	4	5	4	3	5	4	4	4	4	2	4	4	6	4	4	4	3	4	4	4	4	4	4
HOG793	1	0	2	0	1	1	0	1	2	1	0	1	0	1	0	1	1	1	1	0	1	2	1	1	1	1	2	1	1
HOG805	1	1	0	3	2	1	2	3	1	1	1	1	1	0	1	1	1	3	3	1	1	1	1	1	1	2	1	1	1
HOG813	3	5	3	3	3	3	3	4	3	3	3	5	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
HOG817	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG818	1	3	1	1	3	1	1	3	1	1	1	5	1	1	0	3	1	1	1	1	1	1	1	1	3	1	1	1	1
HOG819	4	3	4	4	3	5	5	2	4	5	5	2	6	5	4	3	3	5	4	3	4	5	5	4	3	5	4	4	5
HOG834	2	2	2	2	2	2	2	2	2	3	2	2	3	0	2	2	2	3	2	2	3	0	2	0	2	2	2	2	2
HOG838	3	4	4	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	6	3	4	3	4	3
HOG841	2	2	2	3	3	2	2	2	3	3	2	3	3	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG850	1	1	2	1	0	1	2	1	1	0	1	1	1	1	1	3	3	1	1	2	1	1	1	1	1	1	1	1	1
HOG851	1	2	0	2	2	2	1	2	2	3	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2
HOG853	1	2	1	2	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2
HOG890	5	4	4	4	4	4	4	4	4	1	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG893	2	2	2	2	2	2	2	3	2	2	2	0	2	2	2	3	2	2	2	2	0	2	2	2	0	2	2	2	2
HOG896	1	2	1	2	1	2	2	1	2	2	2	4	2	2	2	1	2	2	2	2	4	2	2	2	4	2	2	2	1
HOG899	4	4	4	4	2	4	4	4	4	0	4	6	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
HOG900	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
HOG901	2	2	3	3	3	3	2	3	2	3	2	2	3	3	2	3	3	3	2	3	3	3	3	2	2	2	3	2	2
HOG909	2	2	0	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
HOG910	2	2	4	2	3	2	2	0	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG920	3	3	0	3	3	3	3	4	3	4	3	4	3	0	3	3	3	3	3	4	4	3	3	3	3	3	3	4	3
HOG922	2	2	2	2	2	2	2	0	2	0	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG928	2	1	3	2	2	2	2	2	3	1	2	2	3	3	3	2	2	3	3	3	2	3	3	3	2	3	2	3	2
HOG929	2	0	2	3	0	2	2	2	2	0	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2
HOG933	2	2	3	2	3	2	2	0	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	2
HOG934	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	1	2	2	3	2	2
HOG935	2	2	3	4	2	2	2	4	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
HOG936	5	5	1	1	1	5	5	5	5	1	5	6	4	5	5	0	5	5	5	5	5	5	5	5	4	5	5	5	5
HOG937	2	2	2	2	3	2	2	0	2	0	0	2	3	2	0	2	2	2	2	3	1	2	3	2	2	2	2	2	2
HOG938	4	3	7	5	6	3	3	5	3	5	5	3	3	3	3	7	3	3	3	2	4	3	2	3	4	3	3	3	3
HOG944	1	2	2	2	2	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1
HOG951	1	2	1	0	1	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	0
HOG952	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0
HOG955	4	3	5	4	5	4	5	3	5	5	5	3	5	4	2	4	5	4	5	3	5	4	4	4	4	4	5	4	5
HOG980	1	1	2	2	2	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	2	2	2	2	1	1	1	2	2
HOG1055	1	1	2	2	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1
HOG1104	1	1	1	2	1	1	2	1	2	2	2	1	2	2	1	1	2	2	2	1	2	2	1	1	1	1	2	1	2
HOG1147	4	5	5	6	5	4	5	6	5	4	6	5	5	5	4	4	5	5	5	4	3	5	6	6	5	6	5	6	5
